Servicer Identifier,Principal Balance,Interest Mortgage 1st,Tax Escrow,Escrow-Insurance,Escrow-Interest Reserve,Escrow-Debt Service Reserve,Escrow-Immediate Replacement Reserve,Escrow-Replacement Reserve,Escrow-Renovation Reserve,Other Escrows
Kearny Bank,Correct as loaded,YTD Interest Paid,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
"CBRE Loan Services, Inc.",Correct as loaded,YTD Interest Paid ,Tax Escrow Balance ,Ins. Escrow Balance,Not on statement,Not on statement,Not on statement,Not populated,Not on statement,Other Escrow Balance
"Arbor Multifamily Lending, LLC",Correct as loaded,YTD Interest Paid ,Tax Escrow Balance ,Insurance Escrow Balance ,Not on statement,Not on statement,Not on statement,Replacement Reserve Escrow Balance ,Not on statement,Not on statement
"Midland Loan Services, a PNC Real Estate Business",Current Principal Balance,Interest Paid YTD ,Tax Escrow Balance ,Property Insurance Escrow Balance ,Not on statement,Not on statement,Not on statement,Reserve Escrow Balance ,Not on statement,Misc. Escrow Balance
Capital One,Current Principal Balance,YTD Interest Paid ,Tax Escrow Balance ,Insurance Escrow Balance ,Not on statement,Not on statement,Not on statement,Reserves Balance ,Not on statement,Other Reserves Balance 
Flagstar Bank,Correct as loaded,YTD Interest Paid ,Escrow Balance,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
NewPoint Real Estate Capital,Current Principal Balance,Interest Paid YTD ,Tax Escrow Balance ,Insurance Escrow Balance ,Not on statement,Not on statement,Not on statement,Replacement Reserve Escrow Balance ,Repair Reserve Escrow Balance ,Other Reserves Escrow Balance 
KeyBank,Current Principal Balance,Interest Paid YTD ,Tax Escrow Balance ,Property Ins. Escrow Balance ,Other Escrow Balance ,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
Newmark,Current Principal Balance,Interest Paid YTD ,Tax Escrow Balance ,Property Insurance Escrow Balance ,Not on statement,Not on statement,Not on statement,Reserve Escrow Balance ,,Not on statement
Greystone Servicing Company LLC,Principal Balance,YTD Interest Paid ,Total Escrow Balance,Balance,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
M&T Realty Capital Corporation,Principal Balance,Interest Paid,Tax & Insurance Balance,Not on statement,Not on statement,Not on statement,Not on statement,Reserves Balance ,COMPL REPAIR Balance,Not on statement
JLL Servicing,Principal Balance,Not on statement,Tax Balance,Insurance Balance,Not on statement,Not on statement,Replacement Reserves Balance,Not on statement,Not on statement,Other Reserves Balance 
Berkadia Autodebit,Principal Balance,Interest Paid YTD ,Tax Escrow Balance ,Insurance Escrow Balance ,Not on statement,Not on statement,Reserve Balance,Not on statement,Not on statement,Other Escrow Balance
Trimont,Current Principal Balance,Interest Paid YTD ,Tax Escrow Balance ,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
Capital Funding,New Balance,Interest Paid YTD ,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
S&T Bank,Current Balance,Interest Paid,Escrow Balance,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement,Not on statement
